date, pm25, o3
2018-01-13,19,27
2018-01-14,24,30
2018-01-15,26,28
2018-01-16,22,23
2018-01-17,17,23
2018-01-18,12,19
2018-01-19,18,17
2018-01-20,26,23
2018-01-21,27,24
2018-01-22,45,28
2018-01-23,38,28
2018-01-24,20,20
2017-10-02,41,27
2017-10-03,35,18
2017-10-04,25,21
2017-10-05,24,21
2017-10-06,16,27
2017-10-07,20,29
2017-10-08,27,29
2017-10-09,34,21
2017-10-10,38,16
2017-10-11,38,17
2017-10-12,19,29
2017-10-13,27,16
2017-10-14,24,24
2017-10-15,32,22
2017-10-16,24,28
2017-10-17,18,34
2017-10-18,27,37
2017-10-19,35,28
2017-10-20,25,21
2017-10-21,23,15
2017-10-22,20,23
2017-10-23,24,37
2017-10-24,20,34
2017-10-25,21,29
2017-10-26,22,31
2017-10-27,31,24
2017-10-28,34,29
2017-10-29,17,34
2017-10-30,37,28
2017-10-31,30,27
2017-11-01,29,26
2017-11-02,43,20
2017-11-03,59,17
2017-11-04,57,19
2017-11-05,33,20
2017-11-06,33,19
2017-11-07,25,19
2017-11-08,25,18
2017-11-09,31,8
2017-11-10,17,8
2017-11-11,40,12
2017-11-12,27,20
2017-11-13,26,20
2017-11-14,14,26
2017-11-15,21,22
2017-11-16,28,18
2017-11-17,30,18
2017-11-18,21,25
2017-11-19,30,28
2017-11-20,14,19
2017-11-21,30,26
2017-11-22,54,26
2017-11-23,34,30
2017-11-24,32,31
2017-11-25,42,34
2017-11-26,47,28
2017-11-27,33,36
2017-11-28,30,30
2017-11-29,35,27
2017-11-30,34,30
2017-12-01,30,33
2017-12-02,37,24
2017-12-03,32,20
2017-12-04,20,18
2017-12-05,23,18
2017-12-06,37,15
2017-12-07,11,19
2017-12-08,5,19
2017-12-09,8,26
2017-12-10,21,27
2017-12-11,27,27
2017-12-12,39,30
2017-12-13,41,19
2017-12-14,42,11
2017-12-15,66,18
2017-12-16,22,18
2017-12-17,19,12
2017-12-18,22,8
2017-12-19,33,11
2017-12-20,33,21
2017-12-21,35,19
2017-12-22,54,15
2017-12-23,48,25
2017-12-24,23,35
2017-12-25,53,14
2017-12-26,47,14
2017-12-27,43,11
2017-12-28,18,9
2017-12-29,23,7
2017-12-30,19,12
2017-12-31,20,12
2018-01-01,12,16
2017-07-02,81,16
2017-07-03,49,17
2017-07-04,29,16
2017-07-05,45,15
2017-07-06,38,18
2017-07-07,29,19
2017-07-08,15,18
2017-07-09,20,20
2017-07-10,29,20
2017-07-11,16,18
2017-07-12,29,17
2017-07-13,37,14
2017-07-14,31,19
2017-07-15,29,22
2017-07-16,30,20
2017-07-17,28,18
2017-07-18,46,17
2017-07-19,42,15
2017-07-20,40,14
2017-07-21,56,13
2017-07-22,37,18
2017-07-23,41,17
2017-07-24,78,17
2017-07-25,78,19
2017-07-26,50,19
2017-07-27,24,19
2017-07-28,25,16
2017-07-29,40,17
2017-07-30,41,19
2017-07-31,51,21
2017-08-01,38,31
2017-08-02,34,27
2017-08-03,35,23
