date, pm25, o3, no2
2018-05-10,77,72,19
2018-05-11,70,74,18
2018-05-12,65,88,15
2018-05-13,73,87,19
2018-05-14,78,78,18
2018-05-15,95,55,16
2018-05-16,71,48,15
2018-05-17,63,57,17
2018-05-18,70,67,25
2018-05-19,80,76,20
2018-05-20,109,75,19
2018-05-21,81,67,22
2018-05-22,86,71,22
2018-05-23,92,69,28
2018-05-24,80,58,20
2018-05-25,75,45,19
2018-05-26,72,64,15
2018-05-27,63,75,17
2018-05-28,71,55,23
2018-05-29,71,51,25
2018-05-30,97,43,25
2018-05-31,101,26,22
2018-06-02,49,49,9
2018-06-03,60,38,9
2018-06-04,51,46,12
2018-06-05,51,80,16
2018-06-06,79,79,16
2018-06-07,87,72,15
2018-06-08,91,52,17
2018-06-09,73,44,19
2018-06-10,66,57,19
2018-06-11,67,42,19
2018-06-12,59,19,30
2018-06-13,75,17,20
2018-06-14,39,21,31
2018-06-15,55,31,31
2018-06-16,89,39,10
2018-06-17,56,21,9
2018-06-18,22,11,12
2018-06-19,22,31,13
2018-06-20,33,32,13
2018-06-21,44,23,16
2018-06-22,41,25,10
2018-06-23,29, , 
2018-06-25,95,44,16
2018-06-26,47,33,23
2018-06-27,61,53,22
2018-06-28,58,43,20
2018-06-29,53,9,21
2018-06-30,63, , 
2018-01-09,83,33,37
2018-01-10,115,39,47
2018-01-11,143,38,38
2018-01-12,135,32,31
2018-01-13,100,30,27
2018-01-14,111,24,22
2018-01-15,79,27,28
2018-01-16,100,28,34
2018-01-17,118,31,29
2018-01-18,84,32,29
2018-01-19,98,30,34
2018-01-20,121,27,33
2018-01-21,113,29,28
2018-01-22,86,30,33
2018-01-23,93,29,23
2018-01-24,102,25,23
2018-01-25,73,23,25
2018-01-26,59,28,22
2018-01-27,71,30,26
2018-01-28,101,13,15
2018-01-29,40,16,11
2018-01-30,21,24,23
2018-01-31,50,16,29
2018-02-01,78,2,27
2018-02-02,82, , 
2018-02-22,90,84,29
2018-02-23,101,75,22
2018-02-24,96,73,25
2018-02-25,95,61,18
2018-02-26,75,52,21
2018-02-27,85,77,23
2018-02-28,98,94,28
2018-03-01,95,61,24
2018-03-02,101,71,20
2018-03-03,94,57,20
2018-03-04,77,73,22
2018-03-05,87,66,25
2018-03-06,89,69,31
2018-03-07,109,54,26
2018-03-08,99,1,31
2018-03-09,66,70,26
2018-03-10,98,73,29
2018-03-11,83,68,30
2018-03-12,85,68,18
2018-03-13,70,73,21
2018-03-14,74,66,24
2018-03-15,96,43,25
2018-03-16,99,55,28
2018-03-17,113,48,28
2018-03-18,113,60,24
2018-03-19,99,77,25
2018-03-20,133,75,28
2018-03-21,128,79,23
2018-03-22,107,58,23
2018-03-23,96,45,19
2018-03-24,116,33,24
2018-03-25,80,72,20
2018-03-26,102,66,22
2018-03-27,103,61,19
2018-03-28,105,35,17
2018-03-29,80,57,18
2018-03-30,80,13,17
2018-03-31,87, , 
2017-10-02,22,23,15
2017-10-03,24,20,16
2017-10-04,27,13,13
2017-10-05,21,22,13
2017-10-06,33,26,15
2017-10-07,37,54,23
2017-10-08,71,32,16
2017-10-09,53,40,19
2017-10-10,62,26,17
2017-10-11,58,19,15
2017-10-12,34,19,14
2017-10-13,26,23,14
2017-10-14,31,32,14
2017-10-15,42,34,13
2017-10-16,56,15,11
2017-10-17,20,24, 
2017-11-01,74,9,35
2017-11-02,113,38,25
2017-11-03,89,29,24
2017-11-04,58,34,22
2017-11-05,67,47,22
2017-11-06,75,42,26
2017-11-07,72,31,30
2017-11-08,77,30,29
2017-11-09,73,41,27
2017-11-10,115,32,22
2017-11-11,69,32,16
2017-11-12,52,29,17
2017-11-13,68,23,12
2017-11-14,27,23,17
2017-11-15,38,29,22
2017-11-16,71,29,25
2017-11-17,63,29,26
2017-11-18,95,35,32
2017-11-19,98,23,18
2017-11-20,48,32,24
2017-11-21,92,5,38
2017-11-22,102,32,20
2017-11-23,63,18,28
2017-11-24,73,44,37
2017-11-25,104,55,45
2017-11-26,132,28,28
2017-11-27,74,32,27
2017-11-28,70,46,36
2017-11-29,97,22,38
2017-11-30,104,13,29
2017-12-01,80,28,33
2017-12-02,116, ,38
2017-12-03,59, , 
2017-12-06,121,40,34
2017-12-07,93,23,31
2017-12-08,91,20,16
2017-12-09,59,22,24
2017-12-10,62,27,24
2017-12-11,71,28,41
2017-12-12,119,27,34
2017-12-13,103,36,39
2017-12-14,112,37,48
2017-12-15,138,22,38
2017-12-16,100,18,17
2017-12-17,59,29,28
2017-12-18,67,33,36
2017-12-19,98,35,35
2017-12-20,106,42,40
2017-12-21,139, , 
2017-07-02,45,40,22
2017-07-03,56,38,26
2017-07-04,56,33,28
2017-07-05,57,32,29
2017-07-06,60,28,21
2017-07-07,55,24,17
2017-07-08,34,20,14
2017-07-09,33,24,15
2017-07-10,44, , 
2017-07-12,54,40,30
2017-07-13,70,64,26
2017-07-14,85,47,19
2017-07-15,67,42,18
2017-07-16,61,44,17
2017-07-17,64,50,21
2017-07-18,63,8,24
2017-07-19,61,39,26
2017-07-20,67,42,24
2017-07-21,66,42,28
2017-07-22,55,46,27
2017-07-23,72,39,26
2017-07-24,69,33,35
2017-07-25,85,44,28
2017-07-26,68,34,17
2017-07-27,39,50,26
2017-07-28,78,46,26
2017-07-29,68,59,18
2017-07-30,69,51,17
2017-07-31,65,32,15
2017-08-01,54, , 
2017-08-03,60,46,22
2017-08-04,59,52,22
2017-08-05,53,53,20
2017-08-06,68,40,17
2017-08-07,54,44,18
2017-08-08,70,45,16
2017-08-09,59,24,16
2017-08-10,56,15,17
2017-08-11,24,50,20
2017-08-12,55,45,17
2017-08-13,46,41,16
2017-08-14,43,35,16
2017-08-15,44,45,23
2017-08-16,72,27,16
2017-08-17,40,35,17
2017-08-18,38,38,23
2017-08-19,66,39,19
2017-08-20,57,39,13
2017-08-21,50,29,12
2017-08-22,40,34,13
2017-08-23,41,34,15
2017-08-24,51,28,14
2017-08-25,41,32,30
2017-08-26,64,44,20
2017-08-27,57,40,14
2017-08-28,58,32,21
2017-08-29,46,13,18
2017-08-30,31,22,21
2017-08-31,47,31,27
2017-09-01,62,31,23
2017-09-02,53,23,14
2017-09-03,30,28,13
2017-09-04,29,19,23
2017-09-05,36,17,19
2017-09-06,24, , 
2017-09-11,25,35,18
2017-09-12,46,47,21
2017-09-13,58,49,25
2017-09-14,70,57,24
2017-09-15,60,47,24
2017-09-16,68,64,24
2017-09-17,119,32,13
2017-09-18,47,32,17
2017-09-19,49,4,15
2017-09-20,46, , 
2017-09-27,57,31,23
2017-09-28,58,18,13
2017-09-29,30,16,17
2017-09-30,29,15,15
2017-10-01,22,21,13
2017-05-25,96,61,24
2017-05-26,76,69,30
2017-05-27,75,73,28
2017-05-28,76,63,18
2017-05-29,67,51,17
2017-05-30,73,37,11
2017-05-31,28,30,14
2017-06-01,36,30,13
2017-06-02,37,36,16
2017-06-03,47,54,15
2017-06-04,66,70,15
2017-06-05,71,66,24
2017-06-06,77,61,25
2017-06-07,76,66,26
2017-06-08,72,53,21
2017-06-09,59,57,24
2017-06-10,71,63,23
2017-06-11,65,65,21
2017-06-12,63,56,25
2017-06-13,71,49,24
2017-06-14,67,24,21
2017-06-15,36,44,17
2017-06-16,38,55,21
2017-06-17,57,53,17
2017-06-18,56,64,15
2017-06-19,60,39,13
2017-06-20,38,29,15
2017-06-21,50,42,16
2017-06-22,62,58,23
2017-06-23,78,49,22
2017-06-24,85,36,20
2017-06-25,63,32,13
2017-06-26,42,27,15
2017-06-27,36,30,26
2017-06-28,75,35,25
2017-06-29,52,29,32
2017-06-30,65,30,23
2017-07-01,58,36,16
2017-01-03,94,53,41
2017-01-04,115,39,33
2017-01-05,87,53,34
2017-01-06,110,64,42
2017-01-07,116,57,33
2017-01-08,113,26,29
2017-01-09,112,32,29
2017-01-10,104,40,30
2017-01-11,67,45,39
2017-01-12,93,55,37
2017-01-13,114,25,33
2017-01-14,92,42,24
2017-01-15,85,52,30
2017-01-16,96,50,36
2017-01-17,100,20,35
2017-01-18,112,18,30
2017-01-19,68,35,32
2017-01-20,82,25,17
2017-01-21,48,35,19
2017-01-22,46,47,26
2017-01-23,75,45,30
2017-01-24,95,37,40
2017-01-25,102,37, 
2017-01-26,84,31, 
2017-01-27,104,40, 
2017-01-28,103,45, 
2017-01-29,103,41, 
2017-01-30,86,52, 
2017-01-31,88,56, 
2017-02-01,109,42, 
2017-02-02,108,41, 
2017-02-03,91,44, 
2017-02-04,82,43, 
2017-02-05,89,45, 
2017-02-06,77,52, 
2017-02-07,90,53, 
2017-02-08,95,48, 
2017-02-09,94,25, 
2017-02-10,70,48, 
2017-02-11,85,61, 
2017-02-12,113,55, 
2017-02-13,112,47, 
2017-02-14,90,35, 
2017-02-15,79,30, 
2017-02-16,73,28, 
2017-02-17,64,24, 
2017-02-18,63,36,26
2017-02-19,84,29,17
2017-02-20,51,30,14
2017-02-21,36,59,26
2017-02-22,87,58,26
2017-02-23,78,31,26
